2025-07-03 11:15:21,309 - WARNING - 미등록자 감지, 프레임 164
2025-07-03 11:15:21,518 - WARNING - 미등록자 감지, 프레임 168
2025-07-03 11:15:21,728 - WARNING - 미등록자 감지, 프레임 171
2025-07-03 11:15:21,940 - WARNING - 미등록자 감지, 프레임 176
2025-07-03 11:15:22,282 - WARNING - 미등록자 감지, 프레임 183
2025-07-03 11:15:22,491 - WARNING - 미등록자 감지, 프레임 188
2025-07-03 11:15:22,833 - WARNING - 미등록자 감지, 프레임 196
2025-07-03 11:15:23,148 - WARNING - 미등록자 감지, 프레임 204
2025-07-03 11:15:23,360 - WARNING - 미등록자 감지, 프레임 208
2025-07-03 11:15:23,572 - WARNING - 미등록자 감지, 프레임 211
2025-07-03 11:15:23,788 - WARNING - 미등록자 감지, 프레임 216
2025-07-03 11:15:23,998 - WARNING - 미등록자 감지, 프레임 220
2025-07-03 11:15:24,223 - WARNING - 미등록자 감지, 프레임 225
2025-07-03 11:15:24,345 - WARNING - 미등록자 감지, 프레임 226
2025-07-03 11:15:24,592 - WARNING - 미등록자 감지, 프레임 231
2025-07-03 11:15:24,810 - WARNING - 미등록자 감지, 프레임 235
2025-07-03 11:15:24,811 - INFO - 애플리케이션 종료
2025-07-03 11:15:24,811 - ERROR - 비디오 프레임을 가져올 수 없습니다.
2025-07-03 11:20:02,394 - WARNING - 등록된 얼굴이 없습니다.
2025-07-03 11:20:03,178 - WARNING - 미등록자 감지, 프레임 8
2025-07-03 11:20:03,395 - WARNING - 미등록자 감지, 프레임 12
2025-07-03 11:20:03,612 - WARNING - 미등록자 감지, 프레임 16
2025-07-03 11:20:03,951 - WARNING - 미등록자 감지, 프레임 20
2025-07-03 11:20:03,952 - WARNING - 미등록자 감지, 프레임 20
2025-07-03 11:20:04,225 - WARNING - 미등록자 감지, 프레임 28
2025-07-03 11:20:04,439 - WARNING - 미등록자 감지, 프레임 32
2025-07-03 11:20:04,649 - WARNING - 미등록자 감지, 프레임 36
2025-07-03 11:20:04,860 - WARNING - 미등록자 감지, 프레임 40
2025-07-03 11:20:05,072 - WARNING - 미등록자 감지, 프레임 44
2025-07-03 11:20:05,281 - WARNING - 미등록자 감지, 프레임 48
2025-07-03 11:20:05,493 - WARNING - 미등록자 감지, 프레임 52
2025-07-03 11:20:05,710 - WARNING - 미등록자 감지, 프레임 56
2025-07-03 11:20:05,925 - WARNING - 미등록자 감지, 프레임 60
2025-07-03 11:20:06,141 - WARNING - 미등록자 감지, 프레임 64
2025-07-03 11:20:06,351 - WARNING - 미등록자 감지, 프레임 68
2025-07-03 11:20:06,565 - WARNING - 미등록자 감지, 프레임 72
2025-07-03 11:20:06,775 - WARNING - 미등록자 감지, 프레임 76
2025-07-03 11:20:06,988 - WARNING - 미등록자 감지, 프레임 80
2025-07-03 11:20:07,196 - WARNING - 미등록자 감지, 프레임 84
2025-07-03 11:20:07,410 - WARNING - 미등록자 감지, 프레임 88
2025-07-03 11:20:07,625 - WARNING - 미등록자 감지, 프레임 92
2025-07-03 11:20:07,836 - WARNING - 미등록자 감지, 프레임 96
2025-07-03 11:20:08,051 - WARNING - 미등록자 감지, 프레임 100
2025-07-03 11:20:08,260 - WARNING - 미등록자 감지, 프레임 104
2025-07-03 11:20:08,469 - WARNING - 미등록자 감지, 프레임 108
2025-07-03 11:20:08,686 - WARNING - 미등록자 감지, 프레임 112
2025-07-03 11:20:08,902 - WARNING - 미등록자 감지, 프레임 116
2025-07-03 11:20:09,118 - WARNING - 미등록자 감지, 프레임 120
2025-07-03 11:20:09,332 - WARNING - 미등록자 감지, 프레임 124
2025-07-03 11:20:09,546 - WARNING - 미등록자 감지, 프레임 128
2025-07-03 11:20:09,757 - WARNING - 미등록자 감지, 프레임 132
2025-07-03 11:20:09,967 - WARNING - 미등록자 감지, 프레임 136
2025-07-03 11:20:10,178 - WARNING - 미등록자 감지, 프레임 140
2025-07-03 11:20:10,390 - WARNING - 미등록자 감지, 프레임 144
2025-07-03 11:20:10,599 - WARNING - 미등록자 감지, 프레임 148
2025-07-03 11:20:10,809 - WARNING - 미등록자 감지, 프레임 152
2025-07-03 11:20:11,017 - WARNING - 미등록자 감지, 프레임 156
2025-07-03 11:20:11,227 - WARNING - 미등록자 감지, 프레임 160
2025-07-03 11:20:11,437 - WARNING - 미등록자 감지, 프레임 164
2025-07-03 11:20:11,649 - WARNING - 미등록자 감지, 프레임 168
2025-07-03 11:20:11,859 - WARNING - 미등록자 감지, 프레임 172
2025-07-03 11:20:12,073 - WARNING - 미등록자 감지, 프레임 176
2025-07-03 11:20:12,283 - WARNING - 미등록자 감지, 프레임 180
2025-07-03 11:20:12,495 - WARNING - 미등록자 감지, 프레임 184
2025-07-03 11:20:12,709 - WARNING - 미등록자 감지, 프레임 188
2025-07-03 11:20:12,926 - WARNING - 미등록자 감지, 프레임 192
2025-07-03 11:20:13,138 - WARNING - 미등록자 감지, 프레임 196
2025-07-03 11:20:13,365 - WARNING - 미등록자 감지, 프레임 202
2025-07-03 11:20:13,484 - WARNING - 미등록자 감지, 프레임 202
2025-07-03 11:20:13,736 - WARNING - 미등록자 감지, 프레임 207
2025-07-03 11:20:13,950 - WARNING - 미등록자 감지, 프레임 212
2025-07-03 11:20:14,168 - WARNING - 미등록자 감지, 프레임 216
2025-07-03 11:20:14,387 - WARNING - 미등록자 감지, 프레임 220
2025-07-03 11:20:14,599 - WARNING - 미등록자 감지, 프레임 224
2025-07-03 11:20:14,808 - WARNING - 미등록자 감지, 프레임 228
2025-07-03 11:20:15,021 - WARNING - 미등록자 감지, 프레임 232
2025-07-03 11:20:15,238 - WARNING - 미등록자 감지, 프레임 236
2025-07-03 11:20:15,450 - WARNING - 미등록자 감지, 프레임 240
2025-07-03 11:20:15,664 - WARNING - 미등록자 감지, 프레임 244
2025-07-03 11:20:15,873 - WARNING - 미등록자 감지, 프레임 248
2025-07-03 11:20:16,085 - WARNING - 미등록자 감지, 프레임 252
2025-07-03 11:20:16,298 - WARNING - 미등록자 감지, 프레임 256
2025-07-03 11:20:16,513 - WARNING - 미등록자 감지, 프레임 260
2025-07-03 11:20:16,728 - WARNING - 미등록자 감지, 프레임 264
2025-07-03 11:20:16,939 - WARNING - 미등록자 감지, 프레임 268
2025-07-03 11:20:17,157 - WARNING - 미등록자 감지, 프레임 272
2025-07-03 11:20:17,196 - INFO - 애플리케이션 종료
2025-07-03 11:20:17,381 - WARNING - 미등록자 감지, 프레임 274
2025-07-03 11:24:01,687 - WARNING - 检测到未授权人员: ['Unknown']
2025-07-03 11:24:02,032 - WARNING - 检测到未授权人员: ['Unknown']
2025-07-03 11:24:02,033 - WARNING - 检测到未授权人员: ['Unknown']
2025-07-03 11:24:02,318 - WARNING - 检测到未授权人员: ['Unknown']
2025-07-03 11:24:02,662 - WARNING - 检测到未授权人员: ['Unknown']
2025-07-03 11:24:02,662 - WARNING - 检测到未授权人员: ['Unknown']
2025-07-03 11:24:02,951 - WARNING - 检测到未授权人员: ['Unknown']
2025-07-03 11:24:03,296 - WARNING - 检测到未授权人员: ['Unknown']
2025-07-03 11:24:03,296 - WARNING - 检测到未授权人员: ['Unknown']
2025-07-03 11:24:03,586 - WARNING - 检测到未授权人员: ['Unknown']
2025-07-03 11:24:03,932 - WARNING - 检测到未授权人员: ['Unknown']
2025-07-03 11:24:03,932 - WARNING - 检测到未授权人员: ['Unknown']
2025-07-03 11:24:04,219 - WARNING - 检测到未授权人员: ['Unknown']
